JOINTS ANGLES (DEGREES)                                                                                         DURATION (SECONDS)            END EFFECTOR POSITION (CARTEZIAN)
27.5019741663,90.0002104591,34.9991269156,114.9983590607,90.0002104591,-22.4999953190                           0.5000000000                  0.4036760541,-0.1559528202,0.4701662347
29.5539396110,85.7770629026,33.7372102072,117.7993510756,89.9426301515,-22.8030815424                           0.5000000000                  0.4270822191,-0.1306081119,0.4388432539
31.8102165797,81.1356289502,32.3186811541,120.8804422919,89.8775318249,-23.1290967917                           0.5000000000                  0.4499474600,-0.0990886466,0.3971943686
34.0663968641,76.4943899205,30.8996910121,123.9615335082,89.8122688724,-23.4543357664                           0.5000000000                  0.4661990432,-0.0680459615,0.3523729254
36.3225492270,71.8533487100,29.4802101693,127.0426247246,89.7469732447,-23.7793659597                           0.5000000000                  0.4756744595,-0.0384055588,0.3050490443
38.5786406240,67.2127352083,28.0596364050,130.1237159409,89.6816064540,-24.1039382853                           0.5000000000                  0.4783775688,-0.0110691983,0.2559535064
40.8346527583,62.5726570801,26.6379819089,133.2048071573,89.6161576790,-24.4279215509                           0.5000000000                  0.4744794590,0.0131037251,0.2058608126
43.0905672091,57.9331951924,25.2153857101,136.2858983736,89.5506191908,-24.7511864373                           0.5000000000                  0.4643120784,0.0333257242,0.1555754228
45.3463667774,53.2943938633,23.7920899497,139.3669895899,89.4849870403,-25.0736168675                           0.5000000000                  0.4483572966,0.0489061195,0.1059165223
47.6020377260,48.6562509286,22.3684121288,142.4480808063,89.4192621014,-25.3951275592                           0.5000000000                  0.4272313907,0.0592732093,0.0577023068
