JOINTS ANGLES (DEGREES)                                                                                         DURATION (SECONDS)            END EFFECTOR POSITION (CARTEZIAN)
27.5019741663,90.0002104591,34.9991269156,114.9983590607,90.0002104591,-22.4999953190                           0.5000000000                  0.4036760541,-0.1559528202,0.4701662347
26.7659530119,77.4409502265,34.5574708576,107.0555879318,88.9072056774,-25.1070329806                           0.5000000000                  0.4062933138,-0.1320388169,0.4243369094
24.5893007020,69.7218146204,29.5898522403,103.4752388291,87.2865266884,-29.0204487834                           0.5000000000                  0.4089105734,-0.1081248137,0.3785075841
23.5718648209,63.5802671881,24.7886329254,102.4195889219,85.8780368107,-32.5126056654                           0.5000000000                  0.4115278330,-0.0842108104,0.3326782587
23.6306666853,58.8607885273,20.5523879503,103.9657145768,84.8791173901,-35.4791923502                           0.5000000000                  0.4141450926,-0.0602968071,0.2868489334
24.8169518271,55.4477256322,17.3258626485,108.0695515610,84.4737754860,-37.5362253629                           0.5000000000                  0.4167623522,-0.0363828038,0.2410196081
27.3504284273,53.1467972896,15.5530681340,114.4896031516,84.7761964108,-38.1070316484                           0.5000000000                  0.4193796118,-0.0124688006,0.1951902828
31.5681609244,51.6101804266,15.5861608812,122.7538276850,85.7817240786,-36.5834855463                           0.5000000000                  0.4219968715,0.0114452027,0.1493609574
37.8018407296,50.3152627883,17.6076126333,132.2090463743,87.3568949468,-32.5396943348                           0.5000000000                  0.4246141311,0.0353592060,0.1035316321
47.6020377260,48.6562509286,22.3684121288,142.4480808063,89.4192621014,-25.3951275592                           0.5000000000                  0.4272313907,0.0592732093,0.0577023068
