IKstat
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
[0.005 0.002 0.005]
