TimeIstat,TimeGstat
0.10044217109680176,7.146841287612915
3.723496198654175,6.441383600234985
8.655944347381592,7.450042247772217
9.56399393081665,5.838690996170044
3.4221651554107666,9.453752994537354
5.326427221298218,9.866360902786255
5.435081720352173,11.472460508346558
5.032522439956665,6.036946535110474
5.634869813919067,9.159878969192505
5.531785488128662,7.3444859981536865
6.232986211776733,5.937119245529175
6.642023086547852,8.350086450576782
4.628863334655762,7.446543455123901
5.534662961959839,10.667831182479858
8.254968166351318,8.654665231704712
5.736434698104858,9.46320652961731
9.359831094741821,10.667933702468872
7.147716045379639,11.075934648513794
10.164295434951782,8.354611873626709
8.152857780456543,10.564939737319946
8.250039100646973,8.755702495574951
6.34276270866394,7.14665675163269
5.938080072402954,8.05424189567566
7.144868612289429,7.747840881347656
5.6370460987091064,11.977636098861694
8.049735307693481,7.749409437179565
4.833587884902954,6.643828630447388
7.446781873703003,10.76805067062378
6.442898273468018,6.942364454269409
4.529489517211914,10.767607927322388
